제목,기관명,표준직무(NCS),고용형태,대체인력여부,채용구분,공고기간,학력정보,근무지,채용인원,원문URL,등록일,마감일,상태
[직원채용] 무기계약직 간호직(이비인후과 전담 간호사) 공개 채용,동남권원자력의학원,보건.의료,무기계약직,아니오,신입+경력,2025.10.03~2025.10.16,대졸(2~3년),부산,1명,https://diramsjob.recruiter.co.kr/career/home,2025.10.03,2025.10.16,진행중
한전KDN(주) 구미지사 AMI분야 일용근로자 모집공고,한전KDN,전기.전자/정보통신,비정규직,아니오,신입+경력,2025.10.03~2025.10.19,학력무관,경북,1명,.,2025.10.03,2025.10.19,진행중
한전KDN(주) 부산울산경남지역본부 직할 AMI분야 비정규직 모집공고,한전KDN,정보통신,비정규직,아니오,신입+경력,2025.10.03~2025.10.18,학력무관,부산,16명,없음.,2025.10.03,2025.10.18,진행중
한국수산자원공단 2025년도 제3차 직원(일반정규직·무기계약직·기간제 근로자·체험형 청년인턴) 채용 공고,한국수산자원공단,사업관리/경영.회계.사무/건설/환경.에너지.안전/농림어업/연구,무기계약직/비정규직/청년인턴(체험형)/정규직,예,신입+경력,2025.10.02~2025.10.21,학력무관/대졸(2~3년)/대졸(4년)/석사/박사,인천/부산/강원/충남/경북/경남/전남/전북/제주,61명,https://www.fira.or.kr/fira/fira_010101_2.jsp?mode=view&article_no=34820&board_wrapper=%2Ffira%2Ffira_010101_2.jsp&pager.offset=0&board_no=3,2025.10.02,2025.10.21,진행중
사회형평적 체험형 청년인턴(장애·자립준비청년) 채용 재공고,공무원연금공단,사업관리/경영.회계.사무,청년인턴(체험형),아니오,신입,2025.10.02~2025.10.17,학력무관,서울/대구/부산/광주/제주/세종,10명,https://www.geps.or.kr/notiCommunication_info_incruit/39784,2025.10.02,2025.10.17,진행중
(주)강원랜드 2025년 동계시즌 기간제 근로자 모집 공고,(주)강원랜드,경영.회계.사무/보건.의료/운전.운송/이용.숙박.여행.오락.스포츠/음식서비스,비정규직,아니오,신입+경력,2025.10.02~2025.10.20,학력무관,대전/대구/강원,724명,https://kangwon.cairos.co.kr/kangwon,2025.10.02,2025.10.20,진행중
[한전KPS(주)] 2025년도 하반기 경력사원 및 전문계약직 채용공고,한전KPS(주),법률.경찰.소방.교도.국방/환경.에너지.안전,비정규직/정규직,아니오,경력,2025.10.02~2025.10.17,학력무관,서울/인천/대전/대구/부산/광주/울산/경기/강원/충남/충북/경북/경남/전남/전북/제주/세종/해외,22명,https://kps.saramin.co.kr,2025.10.02,2025.10.17,진행중
2025년 청년인턴 3차 채용 및 PAO인턴 채용 공고,한국교통연구원,경영.회계.사무,청년인턴(체험형),아니오,신입,2025.10.02~2025.10.17,학력무관,세종,2명,https://www.koti.re.kr/user/bbs/empmnInfo02View.do?bbs_no=70905,2025.10.02,2025.10.17,진행중
[한전KPS(주)]2025년도 하반기 별정직 신입사원(일반_ 장애인 전기담당원) 채용공고,한전KPS(주),전기.전자,정규직,아니오,신입,2025.10.02~2025.10.21,학력무관,서울/인천/대전/대구/부산/광주/울산/경기/강원/충남/충북/경북/경남/전남/전북/제주/세종,13명,https://kps.saramin.co.kr,2025.10.02,2025.10.21,진행중
[한전KPS(주)]2025년도 하반기 신입사원 채용공고,한전KPS(주),경영.회계.사무/건설/기계/재료/전기.전자/정보통신,정규직,아니오,신입,2025.10.02~2025.10.21,학력무관/고졸,서울/인천/대전/대구/부산/광주/울산/경기/강원/충남/충북/경북/경남/전남/전북/제주/세종/해외,140명,https://kps.saramin.co.kr,2025.10.02,2025.10.21,진행중
[광주보훈병원] 전문의(신경외과) 직원 채용,한국보훈복지의료공단,보건.의료,비정규직,아니오,신입+경력,2025.10.02~2025.10.13,학력무관,광주,1명,https://gwangju.bohun.or.kr/010intro/05_body_view.php?left=9&postidx=65494&boardid=cbid2&page=1&opt=&keyword=,2025.10.02,2025.10.13,진행중
[덕유산] 2025년 덕유산사무소 국립공원지킴이 5차(한시인력) 모집 공고문,국립공원공단,환경.에너지.안전,비정규직,아니오,신입+경력,2025.10.02~2025.10.13,학력무관,전북,3명,https://www.knps.or.kr/front/portal/recruit/recruitDtl.do?menuNo=7070064&emplyId=EMPM018129,2025.10.02,2025.10.13,진행중
계약직 전문의 채용 재공고 (감염병병원설립기획팀),국립중앙의료원,보건.의료,비정규직,아니오,신입+경력,2025.10.02~2025.10.13,대졸(4년),서울,1명,https://nmc.recruiter.co.kr/app/jobnotice/view?systemKindCode=MRS2&jobnoticeSn=230797,2025.10.02,2025.10.13,진행중
2025년 단시간근무자(보훈제한경쟁) 채용 공고,서울대학교치과병원,보건.의료,비정규직,아니오,신입,2025.10.02~2025.10.16,학력무관,서울,1명,https://snudh.recruiter.co.kr/app/jobnotice/view?systemKindCode=MRS2&jobnoticeSn=230759,2025.10.02,2025.10.16,진행중
기간제근무자(원무직-수납)채용 공고,서울대학교치과병원,경영.회계.사무/보건.의료,비정규직,예,신입+경력,2025.10.02~2025.10.16,학력무관,서울,1명,https://snudh.recruiter.co.kr/app/jobnotice/view?systemKindCode=MRS2&jobnoticeSn=230727,2025.10.02,2025.10.16,진행중
2025-7호 한국청소년상담복지개발원 직원 모집,한국청소년상담복지개발원,경영.회계.사무/문화.예술.디자인.방송,비정규직,아니오,신입+경력,2025.10.02~2025.10.17,고졸/대졸(4년),서울,18명,https://kyci.fairyhr.com,2025.10.02,2025.10.17,진행중
2025년 계약직(육아휴직 대체 포함) 및 인턴 충원 채용공고,주식회사 에스알,사업관리/경영.회계.사무/교육.자연.사회과학/법률.경찰.소방.교도.국방/보건.의료/사회복지.종교/운전.운송/기계,비정규직/청년인턴(체험형),예,신입+경력,2025.10.02~2025.10.20,학력무관,서울/광주,5명,https://www.srail.or.kr/hpg/hba/01/view.do?anncNo=203&pageId=KR0604000000,2025.10.02,2025.10.20,진행중
2025년 직원 채용(4차) 공고,한국교통연구원,경영.회계.사무/연구,비정규직,예,신입+경력,2025.10.02~2025.10.17,학력무관/대졸(4년)/석사/박사,세종,6명,https://www.koti.re.kr/user/bbs/empmnInfo02View.do?bbs_no=70904,2025.10.02,2025.10.17,진행중
2025년도 한국자산관리공사 체험형 인턴(2차) 채용공고,한국자산관리공사,경영.회계.사무/금융.보험/영업판매/건설,청년인턴(체험형),아니오,신입,2025.10.02~2025.10.16,학력무관,서울/대전/대구/부산/광주/경기/강원/충남/충북/경북/경남/전북/제주,75명,https://kamco.saramin.co.kr,2025.10.02,2025.10.16,진행중
2025년 2차 박사후연구원 및 석사후연구원 공개채용 공고,한국한의학연구원,연구,비정규직,아니오,신입+경력,2025.10.02~2025.10.17,석사/박사,대전,6명,https://kiom.recruitment.kr/,2025.10.02,2025.10.17,진행중
한국화학연구원 2025년 하반기 정규직원(경영행정분야) 채용 공고,한국화학연구원,사업관리/경영.회계.사무/환경.에너지.안전,무기계약직,아니오,신입+경력,2025.10.02~2025.10.17,학력무관/대졸(4년),대전,3명,https://krict.recruitment.kr/app/jobnotice/view?systemKindCode=MRS2&jobnoticeSn=72,2025.10.02,2025.10.17,진행중
한국화학연구원 2025년 하반기 정직원(경영행정분야) 채용 공고,한국화학연구원,사업관리/경영.회계.사무,정규직,아니오,신입+경력,2025.10.02~2025.10.17,학력무관,대전/전남,6명,https://krict.recruitment.kr/app/jobnotice/view?systemKindCode=MRS2&jobnoticeSn=71,2025.10.02,2025.10.17,진행중
한국도로공사서비스(주) 수도권동부권역본부 기간제근로자 채용 공고,한국도로공사서비스(주),운전.운송,비정규직,예,신입,2025.10.02~2025.10.16,학력무관,경기,14명,https://www.exservice.co.kr/boad/bd_recruit/egoread.php?bd=1&itm=&txt=&pg=1&seq=4831,2025.10.02,2025.10.16,진행중
[전주보훈요양원] 육아휴직대체 계약직(간호사_ 사회복지사무원) 공개채용,한국보훈복지의료공단,경영.회계.사무/사회복지.종교,비정규직,예,신입+경력,2025.10.02~2025.10.20,학력무관,전북,3명,https://jjcare.bohun.or.kr/060board/board02_view.asp?bid=72&cateid=&page=1&idx=14206&smode=&skey=&left=2,2025.10.02,2025.10.20,진행중
한국해양수산연수원 2025년도 제4차 계약직 직원 채용 공고,한국해양수산연수원,경영.회계.사무/교육.자연.사회과학/전기.전자,비정규직,예,신입+경력,2025.10.02~2025.10.21,학력무관/대졸(2~3년)/박사,인천/부산,8명,https://kimft.recruiter.co.kr,2025.10.02,2025.10.21,진행중
[대한적십자사 충남지사] 비정규직(사무보조직) 채용 공고,대한적십자사,경영.회계.사무/사회복지.종교,비정규직,아니오,신입,2025.10.02~2025.10.17,학력무관,충남,1명,https://www.redcross.or.kr/recruit/,2025.10.02,2025.10.17,진행중
한전KDN(주)경기강원지역본부 AMI분야 비정규직 모집공고,한전KDN,정보통신,비정규직,아니오,신입+경력,2025.10.02~2025.10.16,학력무관,경기,1명,없음,2025.10.02,2025.10.16,진행중
2025년 제8차 계약직직원 채용 공고,한국식품안전관리인증원,경영.회계.사무/보건.의료/식품가공,비정규직,아니오,신입+경력,2025.10.02~2025.10.16,대졸(4년)/석사/박사,충북,1명,https://www.haccp.or.kr/user/board.do?board=763,2025.10.02,2025.10.16,진행중
2025년도 2차 한국자산관리공사 장애인 단기계약직 채용 공고,한국자산관리공사,경영.회계.사무/금융.보험/영업판매/건설,청년인턴(체험형),아니오,신입,2025.10.02~2025.10.16,학력무관,서울/대전/대구/부산/경기/강원/충북/경남/전북,9명,https://kamco.saramin.co.kr,2025.10.02,2025.10.16,진행중
기술보증기금 사무지원인력 채용공고 (사하지점),기술보증기금,금융.보험,비정규직,예,신입,2025.10.02~2025.10.17,고졸,부산,1명,https://www.kibo.or.kr/,2025.10.02,2025.10.17,진행중
한전KDN(주) 강남지사 배전자동화분야 작업원 모집공고 ,한전KDN,전기.전자/정보통신,비정규직,아니오,신입+경력,2025.10.02~2025.10.16,학력무관,서울,2명,해당없음,2025.10.02,2025.10.16,진행중
국립광주과학관 2025년도 제3회 직원 공개경쟁 채용,국립광주과학관,문화.예술.디자인.방송/경비.청소,무기계약직/비정규직/정규직,예,신입,2025.10.02~2025.10.20,학력무관,광주,2명,https://sciencecenter.select-in.co.kr/recruit/apply/recruitDefault?recruit_idx=750&comp_idx=24,2025.10.02,2025.10.20,진행중
오송첨단의료산업진흥재단 2025년 제1차 직원 채용 재공고(연구실안전관리분야-자격요건 확대),오송첨단의료산업진흥재단,환경.에너지.안전,정규직,아니오,신입,2025.10.02~2025.10.16,대졸(2~3년)/대졸(4년),충북,1명,https://kbiohealth.ai-recruit.kr,2025.10.02,2025.10.16,진행중
계약직 야간약사(약제부) 채용 재공고,국립중앙의료원,보건.의료,비정규직,아니오,신입+경력,2025.10.02~2025.10.13,학력무관,서울,2명,https://nmc.recruiter.co.kr/app/jobnotice/view?systemKindCode=MRS2&jobnoticeSn=230658,2025.10.02,2025.10.13,진행중
건축공간연구원 청년인턴 모집,건축공간연구원,경영.회계.사무,청년인턴(체험형),아니오,신입+경력,2025.10.02~2025.10.21,대졸(4년),세종,1명,https://recruit.auri.re.kr,2025.10.02,2025.10.21,진행중
기간제근로자(대체인력) 채용공고[대전세종충남본부 전력사업처_ 천안지사],한국전력공사,전기.전자,비정규직,예,신입,2025.10.02~2025.10.16,학력무관,대전/충남,2명,http://recruit.kepco.co.kr/sangsi,2025.10.02,2025.10.16,진행중
2025년 11월 한국교육과정평가원 비정규직원 모집 공고,한국교육과정평가원,경영.회계.사무/연구,비정규직,아니오,신입,2025.10.02~2025.10.13,고졸/대졸(4년)/석사,충북,5명,https://www.kice.re.kr/boardCnts/view.do?boardID=10028&boardSeq=5095901&lev=0&m=0503&searchType=S&statusYN=W&page=1&s=kice,2025.10.02,2025.10.13,진행중
